Job,Operation,Start,Duration,Machine
1,1,1,0,0
1,2,17,0,0
1,3,27,0,0
1,4,35,0,0
1,5,40,0,0
1,6,47,0,0
1,7,52,0,0
1,8,63,0,0
1,9,64,0,0
1,10,70,0,0
1,11,75,0,0
1,12,78,0,0
1,13,83,0,0
1,14,91,0,0
1,15,94,0,0
2,1,4,0,0
2,2,7,0,0
2,3,18,0,0
2,4,19,0,0
2,5,28,0,0
2,6,30,0,0
2,7,39,0,0
2,8,45,0,0
2,9,59,0,0
2,10,66,0,0
2,11,69,0,0
2,12,82,0,0
2,13,85,0,0
2,14,91,0,0
2,15,93,0,0
3,1,0,0,0
3,2,21,0,0
3,3,25,0,0
3,4,30,0,0
3,5,38,0,0
3,6,43,0,0
3,7,52,0,0
3,8,53,0,0
3,9,59,0,0
3,10,62,0,0
3,11,73,0,0
3,12,77,0,0
3,13,79,0,0
3,14,87,0,0
3,15,92,0,0
4,1,12,0,0
4,2,13,0,0
4,3,20,0,0
4,4,23,0,0
4,5,30,0,0
4,6,34,0,0
4,7,36,0,0
4,8,44,0,0
4,9,49,0,0
4,10,58,0,0
4,11,59,0,0
4,12,68,0,0
4,13,71,0,0
4,14,87,0,0
4,15,99,0,0
5,1,1,0,0
5,2,9,0,0
5,3,14,0,0
5,4,38,0,0
5,5,39,0,0
5,6,48,0,0
5,7,51,0,0
5,8,58,0,0
5,9,63,0,0
5,10,65,0,0
5,11,73,0,0
5,12,78,0,0
5,13,91,0,0
5,14,92,0,0
5,15,98,0,0
6,1,5,0,0
6,2,12,0,0
6,3,14,0,0
6,4,22,0,0
6,5,27,0,0
6,6,42,0,0
6,7,43,0,0
6,8,49,0,0
6,9,52,0,0
6,10,64,0,0
6,11,69,0,0
6,12,76,0,0
6,13,84,0,0
6,14,89,0,0
6,15,100,0,0
7,1,5,0,0
7,2,11,0,0
7,3,15,0,0
7,4,22,0,0
7,5,26,0,0
7,6,28,0,0
7,7,36,0,0
7,8,41,0,0
7,9,53,0,0
7,10,56,0,0
7,11,64,0,0
7,12,77,0,0
7,13,85,0,0
7,14,91,0,0
7,15,93,0,0
8,1,2,0,0
8,2,14,0,0
8,3,16,0,0
8,4,33,0,0
8,5,36,0,0
8,6,45,0,0
8,7,50,0,0
8,8,54,0,0
8,9,62,0,0
8,10,67,0,0
8,11,76,0,0
8,12,77,0,0
8,13,83,0,0
8,14,86,0,0
8,15,97,0,0
9,1,4,0,0
9,2,6,0,0
9,3,14,0,0
9,4,19,0,0
9,5,34,0,0
9,6,35,0,0
9,7,46,0,0
9,8,49,0,0
9,9,58,0,0
9,10,62,0,0
9,11,64,0,0
9,12,72,0,0
9,13,77,0,0
9,14,94,0,0
9,15,95,0,0
10,1,0,0,0
10,2,5,0,0
10,3,18,0,0
10,4,26,0,0
10,5,32,0,0
10,6,37,0,0
10,7,44,0,0
10,8,48,0,0
10,9,50,0,0
10,10,58,0,0
10,11,63,0,0
10,12,76,0,0
10,13,85,0,0
10,14,91,0,0
10,15,94,0,0
11,1,2,0,0
11,2,11,0,0
11,3,20,0,0
11,4,24,0,0
11,5,26,0,0
11,6,34,0,0
11,7,39,0,0
11,8,49,0,0
11,9,52,0,0
11,10,60,0,0
11,11,69,0,0
11,12,80,0,0
11,13,84,0,0
11,14,86,0,0
11,15,96,0,0
12,1,3,0,0
12,2,10,0,0
12,3,14,0,0
12,4,16,0,0
12,5,24,0,0
12,6,29,0,0
12,7,38,0,0
12,8,39,0,0
12,9,47,0,0
12,10,50,0,0
12,11,72,0,0
12,12,76,0,0
12,13,78,0,0
12,14,87,0,0
12,15,92,0,0
13,1,9,0,0
13,2,11,0,0
13,3,13,0,0
13,4,20,0,0
13,5,24,0,0
13,6,39,0,0
13,7,45,0,0
13,8,52,0,0
13,9,60,0,0
13,10,71,0,0
13,11,73,0,0
13,12,75,0,0
13,13,83,0,0
13,14,87,0,0
13,15,95,0,0
14,1,1,0,0
14,2,9,0,0
14,3,12,0,0
14,4,19,0,0
14,5,25,0,0
14,6,28,0,0
14,7,32,0,0
14,8,57,0,0
14,9,61,0,0
14,10,68,0,0
14,11,73,0,0
14,12,75,0,0
14,13,79,0,0
14,14,91,0,0
14,15,94,0,0
15,1,2,0,0
15,2,6,0,0
15,3,14,0,0
15,4,16,0,0
15,5,26,0,0
15,6,27,0,0
15,7,41,0,0
15,8,44,0,0
15,9,53,0,0
15,10,60,0,0
15,11,64,0,0
15,12,77,0,0
15,13,82,0,0
15,14,93,0,0
15,15,96,0,0
