num_jobs,num_machines,n_instances,n_clean_format,clean_format_rate_pct,n_needed_reparse,reparse_rate_pct,n_unparseable,unparseable_rate_pct,n_structurally_valid,structural_validity_rate_pct,gen_time_mean_sec,gen_time_max_sec
3,3,131,0,0.0,2,1.53,129,98.47,2,1.53,0.383,1.75
4,4,144,0,0.0,8,5.56,136,94.44,8,5.56,0.772,2.9
5,5,135,0,0.0,0,0.0,135,100.0,0,0.0,0.806,1.11
6,6,126,0,0.0,4,3.17,122,96.83,4,3.17,1.993,87.77
8,6,160,0,0.0,44,27.5,116,72.5,19,11.88,23.023,99.54
8,8,144,0,0.0,17,11.81,127,88.19,14,9.72,4.336,95.51
10,8,168,1,0.6,68,40.48,99,58.93,44,26.19,14.546,107.51
10,10,143,0,0.0,17,11.89,126,88.11,16,11.19,4.421,99.19
12,10,149,29,19.46,42,28.19,78,52.35,44,29.53,22.137,106.43
12,12,176,26,14.77,41,23.3,109,61.93,30,17.05,27.621,98.48
15,12,148,8,5.41,107,72.3,33,22.3,89,60.14,27.674,100.66
15,15,168,123,73.21,44,26.19,1,0.6,166,98.81,30.172,32.06
20,15,158,0,0.0,129,81.65,29,18.35,75,47.47,47.802,95.14
