num_jobs,num_machines,n_total,n_sent_to_solver,n_lds_solved,lds_solved_rate_pct,n_k_cap_exceeded,n_timeout_undetermined,n_cycle_free_k0,cycle_free_rate_pct_of_solved,k_mean,k_median,k_max,gap_pct_mean,gap_pct_median,n_with_gap_data,solve_time_mean_sec,solve_time_max_sec
3,3,131,2,2,100.0,0,0,2,100.0,0,0.0,0,60.213,60.213,2,0.23,0.23
4,4,144,8,8,100.0,0,0,7,87.5,0.375,0.0,3,52.179,50.198,8,0.45,1.12
5,5,135,0,0,,0,0,0,,,,,,,0,,
6,6,126,4,4,100.0,0,0,0,0.0,8.5,9.5,14,134.135,152.219,4,5.32,8.9
8,6,160,19,19,100.0,0,0,5,26.32,9.579,5,27,110.357,109.057,19,60.622,372.21
8,8,144,14,14,100.0,0,0,2,14.29,8.571,5.0,33,100.295,80.716,14,180.981,1291.95
10,8,168,44,40,90.91,0,4,19,47.5,3.225,1.0,22,80.63,60.983,40,495.991,5095.25
10,10,143,16,16,100.0,0,0,1,6.25,7.688,7.0,18,250.406,204.481,16,265.328,2131.53
12,10,149,44,42,95.45,0,2,34,80.95,0.762,0.0,15,77.331,20.416,42,195.812,4346.47
12,12,176,30,26,86.67,0,4,26,100.0,0,0.0,0,11.98,13.152,26,396.826,3696.13
15,12,148,89,43,48.31,0,46,11,25.58,4.047,3,16,180.086,114.545,43,857.712,3257.17
15,15,168,166,124,74.7,0,42,123,99.19,0.008,0.0,1,-34.459,-50.278,124,221.653,1439.75
20,15,158,75,0,0.0,0,75,0,,,,,,,0,651.35,992.4
