num_jobs,num_machines,n_instances,n_clean_format,clean_format_rate_pct,n_needed_reparse,reparse_rate_pct,n_unparseable,unparseable_rate_pct,n_structurally_valid,structural_validity_rate_pct,gen_time_mean_sec,gen_time_max_sec
3,3,131,0,0.0,0,0.0,131,100.0,0,0.0,0.282,8.9
4,4,144,0,0.0,0,0.0,144,100.0,0,0.0,0.313,4.06
5,5,135,0,0.0,0,0.0,135,100.0,0,0.0,1.158,96.83
6,6,126,0,0.0,1,0.79,125,99.21,1,0.79,0.313,8.34
8,6,160,0,0.0,1,0.62,159,99.38,1,0.62,2.91,96.15
8,8,144,0,0.0,0,0.0,144,100.0,0,0.0,1.232,88.92
10,8,168,0,0.0,0,0.0,168,100.0,0,0.0,6.103,96.5
10,10,143,0,0.0,0,0.0,143,100.0,0,0.0,8.896,97.69
12,10,149,0,0.0,3,2.01,146,97.99,3,2.01,5.81,97.66
12,12,176,0,0.0,1,0.57,175,99.43,1,0.57,6.364,97.84
15,12,148,0,0.0,0,0.0,148,100.0,0,0.0,14.948,97.76
15,15,168,0,0.0,0,0.0,168,100.0,0,0.0,5.03,97.47
20,15,158,0,0.0,0,0.0,158,100.0,0,0.0,13.616,97.37
