num_jobs,num_machines,n_total,n_sent_to_solver,n_lds_solved,lds_solved_rate_pct,n_k_cap_exceeded,n_timeout_undetermined,n_cycle_free_k0,cycle_free_rate_pct_of_solved,k_mean,k_median,k_max,gap_pct_mean,gap_pct_median,n_with_gap_data,solve_time_mean_sec,solve_time_max_sec
3,3,131,0,0,,0,0,0,,,,,,,0,,
4,4,144,0,0,,0,0,0,,,,,,,0,,
5,5,135,0,0,,0,0,0,,,,,,,0,,
6,6,126,1,1,100.0,0,0,1,100.0,0,0,0,3.87,3.87,1,0.24,0.24
8,6,160,1,1,100.0,0,0,1,100.0,0,0,0,9.375,9.375,1,0.41,0.41
8,8,144,0,0,,0,0,0,,,,,,,0,,
10,8,168,0,0,,0,0,0,,,,,,,0,,
10,10,143,0,0,,0,0,0,,,,,,,0,,
12,10,149,3,3,100.0,0,0,3,100.0,0,0,0,18.866,17.181,3,0.333,0.34
12,12,176,1,1,100.0,0,0,1,100.0,0,0,0,16.239,16.239,1,0.41,0.41
15,12,148,0,0,,0,0,0,,,,,,,0,,
15,15,168,0,0,,0,0,0,,,,,,,0,,
20,15,158,0,0,,0,0,0,,,,,,,0,,
