num_jobs,num_machines,n_instances,n_feasible,feasibility_rate_pct,n_clean_format,clean_format_rate_pct,n_infeasible_wrong_length,n_infeasible_no_array_found,gen_time_mean_sec,gen_time_max_sec,gap_pct_mean,gap_pct_median,gap_pct_min,gap_pct_max,n_with_gap_data
3,3,131,130,99.24,130,99.24,1,0,1.592,8.96,10.046,4.939,0.0,55.172,130
4,4,144,144,100.0,140,97.22,0,0,2.671,2.71,16.811,15.206,0.0,75.439,144
5,5,135,133,98.52,121,89.63,0,2,4.01,4.06,20.863,22.128,0.0,78.061,133
6,6,126,102,80.95,36,28.57,21,3,6.248,11.96,29.872,29.507,4.082,67.925,102
8,6,160,154,96.25,74,46.25,2,4,6.679,6.84,42.249,40.944,0.0,98.462,154
8,8,144,135,93.75,62,43.06,4,5,8.831,9.28,44.579,44.214,12.319,96.774,135
10,8,168,147,87.5,119,70.83,17,3,10.999,12.65,63.542,61.979,27.16,117.994,147
10,10,143,142,99.3,142,99.3,1,0,13.728,27.82,58.145,56.545,30.272,100.922,142
12,10,149,147,98.66,148,99.33,0,1,16.279,16.45,80.331,78.194,38.318,162.7,147
12,12,176,173,98.3,176,100.0,0,0,19.828,21.8,80.853,76.654,12.048,168.399,173
15,12,148,62,41.89,148,100.0,84,0,39.591,49.66,98.184,95.652,68.103,152.137,62
15,15,168,32,19.05,168,100.0,132,0,45.719,49.31,105.285,102.32,66.406,173.016,32
20,15,158,0,0.0,158,100.0,158,0,49.207,49.45,,,,,0
